"Callsign","Sysop","Band","TX","Type","Where","Region","IF(secrecy='9',left(locator,4),locator)","lat","lon",
2E1GW,2E1GW,70CM,439.912500,AP,SOUTHGATE,SE,IO91WP,51.63,-0.138,
2E1GW,2E1GW,2M,144.800000,AP,SOUTHGATE,SE,IO91WP,51.629,-0.139,
G0PEB,G0PEB,70CM,439.912500,AP,EAST COWES,SW,IO90IR,50.739,-1.267,
G1MEI,G1MEI,70CM,439.912500,AP,BASINGSTOKE,SW,IO91KG,51.283,-1.12,
G1ZRN,G1ZRN,70CM,439.912500,AP,STOURPORT ON SEVERN,CEN,IO82,52.3,-2.3,
G4AKW,G4AKW,70CM,439.912500,AP,WOODBRIDGE,EA,JO02PC,52.097,1.304,
G4BVE,G4BVE,70CM,439.912500,AP,WORTHEN  SHREWSBURY,CEN,IO82MP,52.637,-2.997,
G5BSD,G5BSD,2M,144.800000,AP,SOUTH NUTFIELD,SE,IO91WF,51.217,-0.144,
G7MFE,G7MFE,70CM,439.912500,AP,WADHURST,SE,JO01,51.1,0.4,
GB7AAX,M0JQQ,2M,144.937500,PX,ELLINGTON,NOR,IO95FF,55.221,-1.565,
GB7BAR,G7RZU,40M,7.050100,PX,BARNHAM,SW,IO90,50.8,-0.6,
GB7BDH,G4WQG,70CM,439.950000,PX,BROAD HINTON,SW,IO91,51.5,-1.8,
GB7BDH,G4WQG,70CM,430.200000,PX,BROAD HINTON,SW,IO91,51.5,-1.8,
GB7BDH,G4WQG,6M,50.650000,PX,BROAD HINTON,SW,IO91,51.5,-1.8,
GB7BDH,G4WQG,70CM,432.675000,PX,BROAD HINTON,SW,IO91,51.5,-1.8,
GB7BDH,G4WQG,2M,144.925000,PX,BROAD HINTON,SW,IO91,51.5,-1.8,
GB7BDH,G4WQG,10M,29.250000,PX,BROAD HINTON,SW,IO91,51.5,-1.8,
GB7BDH,G4WQG,2M,144.950000,PX,BROAD HINTON,SW,IO91,51.5,-1.8,
GB7BDH,G4WQG,4M,70.312500,PX,BROAD HINTON,SW,IO91,51.5,-1.8,
GB7BDH,G4WQG,2M,144.937500,PX,BROAD HINTON,SW,IO91,51.5,-1.8,
GB7BDH,G4WQG,70CM,439.900000,PX,BROAD HINTON,SW,IO91BL,51.488,-1.843,
GB7BDH,G4WQG,10M,28.130000,PX,BROAD HINTON,SW,IO91,51.5,-1.8,
GB7BDX,GM4UPX,4M,70.487500,PX,JEDBURGH,SCOT,IO85RL,55.478,-2.555,
GB7BED,G7UOD,70CM,432.675000,PX,BEDFORD,SE,IO92RD,52.132,-0.502,
GB7BED,G7UOD,2M,144.950000,PX,BEDFORD,SE,IO92RD,52.132,-0.502,
GB7BEX,G7TAJ,2M,144.950000,PX,BEXHILL-ON-SEA,SE,JO00,50.8,0.4,
